Pre Operating Expense,Date of Expense,Cost,Vendor,Category,Contact Info
Security System,20/03/2026,800.00,Security Store,Technology,info@securitystore.com
Surveillance Cameras,25/03/2026,500.00,Camera Store,Technology,info@camerastore.com
Access Control,30/03/2026,300.00,Access Control Co,Technology,info@accesscontrol.com
Fire Suppression,05/04/2026,400.00,Fire Safety Co,Technology,info@firesafety.com
Alarm System,10/04/2026,350.00,Alarm Store,Technology,info@alarmstore.com
Intercom System,15/04/2026,250.00,Intercom Store,Technology,info@intercomstore.com
PA System,20/04/2026,450.00,PA Store,Technology,info@pastore.com
Projector,25/04/2026,600.00,Projector Store,Technology,info@projectorstore.com
Whiteboard,30/04/2026,150.00,Whiteboard Store,Office Expenses,info@whiteboardstore.com
Filing Cabinet,05/05/2026,200.00,Filing Store,Office Expenses,info@filingstore.com
Storage Shelves,10/05/2026,180.00,Storage Store,Office Expenses,info@storagestore.com
Conference Table,15/05/2026,500.00,Table Store,Office Expenses,info@tablestore.com
Office Chairs,20/05/2026,400.00,Chair Store,Office Expenses,info@chairstore.com
Desk Lamps,25/05/2026,75.00,Lamp Store,Office Expenses,info@lampstore.com
Air Purifier,30/05/2026,200.00,Air Store,Office Expenses,info@airstore.com
Heating System,05/06/2026,1200.00,Heating Co,Utilities,service@heatingco.com
Cooling System,10/06/2026,1500.00,Cooling Co,Utilities,service@coolingco.com
Plumbing Repair,15/06/2026,300.00,Plumbing Co,Utilities,service@plumbingco.com
Electrical Work,20/06/2026,450.00,Electrical Co,Utilities,service@electricalco.com
HVAC Maintenance,25/06/2026,200.00,HVAC Co,Utilities,service@hvacco.com
Roof Repair,30/06/2026,800.00,Roofing Co,Utilities,service@roofingco.com
Window Replacement,05/07/2026,600.00,Window Co,Utilities,service@windowco.com
Door Installation,10/07/2026,400.00,Door Co,Utilities,service@doorco.com
Flooring Installation,15/07/2026,1200.00,Flooring Co,Utilities,service@flooringco.com
Paint Job,20/07/2026,500.00,Painting Co,Utilities,service@paintingco.com
Landscaping,25/07/2026,300.00,Landscaping Co,Utilities,service@landscapingco.com
Pest Control,30/07/2026,150.00,Pest Control Co,Utilities,service@pestcontrolco.com
Waste Management,05/08/2026,75.00,Waste Co,Utilities,service@wasteco.com
Recycling Service,10/08/2026,45.00,Recycling Co,Utilities,service@recyclingco.com
Security Guard,15/08/2026,800.00,Security Guard Co,Office Expenses,info@securityguardco.com
Janitorial Service,20/08/2026,400.00,Janitorial Co,Office Expenses,info@janitorialco.com
Maintenance Service,25/08/2026,250.00,Maintenance Co,Office Expenses,info@maintenanceco.com
Repair Service,30/08/2026,180.00,Repair Co,Office Expenses,info@repairco.com
Installation Service,05/09/2026,120.00,Installation Co,Office Expenses,info@installationco.com
Delivery Service,10/09/2026,60.00,Delivery Co,Office Expenses,info@deliveryco.com
Moving Service,15/09/2026,500.00,Moving Co,Office Expenses,info@movingco.com
Storage Rental,20/09/2026,100.00,Storage Co,Office Expenses,info@storageco.com
Warehouse Rental,25/09/2026,800.00,Warehouse Co,Office Expenses,info@warehouseco.com
Office Rental,30/09/2026,1500.00,Office Rental Co,Office Expenses,info@officerentalco.com
Meeting Room Rental,05/10/2026,75.00,Meeting Room Co,Office Expenses,info@meetingroomco.com
Conference Room Rental,10/10/2026,150.00,Conference Room Co,Office Expenses,info@conferenceroomco.com
Event Space Rental,15/10/2026,500.00,Event Space Co,Office Expenses,info@eventspaceco.com
Parking Space Rental,20/10/2026,50.00,Parking Co,Office Expenses,info@parkingco.com
Storage Unit Rental,25/10/2026,80.00,Storage Unit Co,Office Expenses,info@storageunitco.com
Equipment Rental,30/10/2026,200.00,Equipment Rental Co,Office Expenses,info@equipmentrentalco.com
Tool Rental,05/11/2026,75.00,Tool Rental Co,Office Expenses,info@toolrentalco.com
Vehicle Rental,10/11/2026,150.00,Vehicle Rental Co,Travel,info@vehiclerentalco.com
Hotel Room Rental,15/11/2026,120.00,Hotel Co,Travel,info@hotelco.com
Meeting Room Rental,20/11/2026,100.00,Meeting Room Co,Travel,info@meetingroomco.com
Conference Room Rental,25/11/2026,200.00,Conference Room Co,Travel,info@conferenceroomco.com
Event Space Rental,30/11/2026,600.00,Event Space Co,Travel,info@eventspaceco.com
Transportation Service,05/12/2026,80.00,Transportation Co,Travel,info@transportationco.com
Taxi Service,10/12/2026,45.00,Taxi Co,Travel,info@taxico.com
Uber Service,15/12/2026,35.00,Uber,Travel,help@uber.com
Lyft Service,20/12/2026,30.00,Lyft,Travel,help@lyft.com
Train Ticket,25/12/2026,75.00,Train Co,Travel,info@trainco.com
Bus Ticket,30/12/2026,25.00,Bus Co,Travel,info@busco.com
Subway Ticket,05/01/2027,15.00,Subway Co,Travel,info@subwayco.com
Parking Fee,10/01/2027,20.00,Parking Co,Travel,info@parkingco.com
Toll Fee,15/01/2027,8.50,Toll Co,Travel,info@tollco.com
Gas Expense,20/01/2027,45.00,Gas Station,Travel,info@gasstation.com
Oil Change,25/01/2027,35.00,Oil Change Co,Travel,info@oilchangeco.com
Car Wash,30/01/2027,15.00,Car Wash Co,Travel,info@carwashco.com
Car Maintenance,05/02/2027,200.00,Car Maintenance Co,Travel,info@carmaintenanceco.com
Car Repair,10/02/2027,350.00,Car Repair Co,Travel,info@carrepairco.com
Car Insurance,15/02/2027,120.00,Car Insurance Co,Travel,info@carinsuranceco.com
Car Registration,20/02/2027,75.00,Car Registration Co,Travel,info@carregistrationco.com
Car Inspection,25/02/2027,50.00,Car Inspection Co,Travel,info@carinspectionco.com
Car Towing,01/03/2027,100.00,Car Towing Co,Travel,info@cartowingco.com
